player_id,name,name_en,team_name,team_code,position_code,position_name,jersey_number,batting_hand,throwing_hand,birthdate,first_game_date,height_cm,weight_kg,school,is_foreign,is_aboriginal,aboriginal_name,image_url,is_coach,is_player,is_referee,listing_team_code,nationality,player_status,remarks,sex,team_logo
0000000128,朱承洋,CHU Cheng Yang,樂天桃猿,AJL011,1,投手,22,L,R,1995-04-15,2013-10-15,175,70,臺中高農,0,1,朱俊祥,https://www.cpbl.com.tw/files/atts/0L087781872057811482/22朱承洋2025.jpg,0,1,0,AJL011,158,,"2013 中華職棒季中選秀會 Lamigo桃猿<第二輪第二指名>
2013/08/10 Lamigo桃猿《新註冊》
2013 亞洲冬季棒球聯盟《CPBL Lamigo桃猿》登錄名單
2015/08/15 Lamigo桃猿《註銷註冊》
2017 Lamigo桃猿《開季26人名單》
2017 Lamigo桃猿《總冠軍賽28人名單》
2017 亞洲冬季棒球聯盟《中職聯隊》
2018 Lamigo桃猿《開季26人名單》
2020/02/14 樂天桃猿《合約所屬球員》
2021/02/04 樂天桃猿 更改背號 16→22
2023/03/01 樂天桃猿《註冊球員》
2023 樂天桃猿《季後賽28人名單》《總冠軍賽28人名單》
2024/02/26 樂天桃猿《合約所屬球員》；更改姓名 朱俊祥→朱承洋
2024/08/27 樂天桃猿《新註冊》
2025/02/27 樂天桃猿《註冊球員》
2025/03/28 樂天桃猿《開季名單》
2025 樂天桃猿《季後挑戰賽32人名單》《總冠軍賽32人名單》
2026/02/24 樂天桃猿《註冊球員》",1,http://cpbl.com.tw/files/atts/0L015581098468306680/2024_CPBL六隊Logo_R_官網.png
0000000132,梁家榮,LIANG Chia Jung,樂天桃猿二軍,AJL022,5,三壘手,5,L,R,1995-03-25,2013-10-15,180,90,高苑工商,0,0,,https://www.cpbl.com.tw/files/atts/0P070523294404183608/5梁家榮2025.jpg,0,1,0,AJL022,158,,"2013 高中生選拔會Lamigo第一輪第一指名
2013 亞洲冬季棒球聯盟《CPBL Lamigo桃猿》登錄名單
2015 亞洲冬季棒球聯盟《中職聯隊》登錄名單
2017 Lamigo桃猿《開季26人名單》
2017 亞洲冬季棒球聯盟《中職聯隊》
2023/03/01 樂天桃猿《註冊球員》
2023/03/31 樂天桃猿《開季27人名單》
2023 樂天桃猿《季後賽28人名單》
2023 樂天桃猿《季後賽28人名單》
2024/02/26 樂天桃猿《註冊球員》
2025/02/27 樂天桃猿《註冊球員》
2025/03/28 樂天桃猿《開季名單》
2025 樂天桃猿《季後挑戰賽32人名單》《總冠軍賽32人名單》
2025 桃園亞洲職棒交流賽 樂天桃猿《出賽名單》
2026/02/24 樂天桃猿《註冊球員》",1,http://cpbl.com.tw/files/atts/0L015581098468306680/2024_CPBL六隊Logo_R_官網.png
0000000135,陳禹勳,CHEN Yu Hsun,味全龍二軍,AAA022,1,投手,5,R,R,1989-05-20,2014-03-23,182,90,臺北市大,0,0,,https://www.cpbl.com.tw/files/atts/0L087781874779548454/5陳禹勳.jpg,0,1,0,AAA022,158,,"2014 Lamigo桃猿《總冠軍賽28人名單》
2015 Lamigo桃猿《開季25人名單》
2016 Lamigo桃猿《開季26人名單》
2017 Lamigo桃猿《開季26人名單》
2017 Lamigo桃猿《總冠軍賽28人名單》
2018 Lamigo桃猿《開季26人名單》
2019 Lamigo桃猿《開季26人名單》
2020 樂天桃猿 更改背號 20→0
2020 樂天桃猿《開季26人名單》
2023 樂天桃猿 更改背號 0→20
2023/03/01 樂天桃猿《註冊球員》
2023/03/31 樂天桃猿《開季27人名單》
2023 樂天桃猿《季後賽28人名單》
2024/02/26 味全龍《註冊球員》；更改背號 20→5
2025/02/26 味全龍《註冊球員》
2025/03/28 味全龍《開季28人名單》
2026/02/24 味全龍《註冊球員》",1,http://cpbl.com.tw/files/atts/0L021497849799849722/logo_dragon_large.png
0000000153,林承飛,LIN Chen Fei,樂天桃猿,AJL011,6,游擊手,6,R,R,1997-04-08,2015-10-07,180,86,大同學院,0,0,,https://www.cpbl.com.tw/files/atts/0L087781887959961536/6林承飛2025.jpg,0,1,0,AJL011,158,,"2015 亞洲冬季棒球聯盟《中職聯隊》登錄名單(12/11除役)
2016 Lamigo桃猿《開季26人名單》
2017 Lamigo桃猿《開季26人名單》
2017 Lamigo桃猿《總冠軍賽28人名單》
2018 Lamigo桃猿《開季26人名單》
2019 Lamigo桃猿《開季26人名單》
2020 樂天桃猿《開季26人名單》
2023/03/01 樂天桃猿《註冊球員》
2023/03/31 樂天桃猿《開季27人名單》
2023 樂天桃猿《季後賽28人名單》《總冠軍賽28人名單》
2024/02/26 樂天桃猿《註冊球員》
2025/02/27 樂天桃猿《註冊球員》
2025 樂天桃猿《季後挑戰賽32人名單》《總冠軍賽32人名單》
2026/02/24 樂天桃猿《註冊球員》
2026/03/27 樂天桃猿《開季名單》",1,http://cpbl.com.tw/files/atts/0L015581098468306680/2024_CPBL六隊Logo_R_官網.png
0000000158,*廖健富,LIAO Chien Fu,樂天桃猿二軍,AJL022,3,一壘手,58,L,R,1998-09-28,2017-09-24,178,88,大同學院,0,0,,https://www.cpbl.com.tw/files/atts/0L087781882766224067/58廖健富2025.jpg,0,1,0,AJL022,158,,"2017/08/29 Lamigo桃猿《新註冊》
2017 亞洲冬季棒球聯盟《中職聯隊》
2018 Lamigo桃猿《開季26人名單》
2019 Lamigo桃猿《開季26人名單》
2020 樂天桃猿《開季26人名單》
2021/03/03 樂天桃猿《合約所屬球員》
2022/03/03 樂天桃猿《合約所屬球員》
2022/03/31 樂天桃猿《新註冊》
2023/03/01 樂天桃猿《註冊球員》
2023/03/31 樂天桃猿《開季27人名單》
2023 樂天桃猿《季後賽28人名單》《總冠軍賽28人名單》
2024/02/26 樂天桃猿《註冊球員》
2025/02/27 樂天桃猿《註冊球員》
2025/03/28 樂天桃猿《開季名單》
2026/02/24 樂天桃猿《合約所屬球員》",1,http://cpbl.com.tw/files/atts/0L015581098468306680/2024_CPBL六隊Logo_R_官網.png
0000000159,成晉,CHENG Chin,樂天桃猿,AJL011,9,右外野手,35,R,R,1998-11-13,2018-06-19,184,90,臺北市大,0,0,,https://www.cpbl.com.tw/files/atts/0L087781888038719580/35成晉2025.jpg,0,1,0,AJL011,158,,"2017/08/29 Lamigo桃猿《新註冊》
2020 樂天桃猿《開季26人名單》
2023/03/01 樂天桃猿《註冊球員》
2023/03/31 樂天桃猿《開季27人名單》
2023 樂天桃猿《季後賽28人名單》《總冠軍賽28人名單》
2024/02/26 樂天桃猿《註冊球員》
2024/08/27 樂天桃猿《註銷註冊》
2025/02/27 樂天桃猿《註冊球員》
2025/03/28 樂天桃猿《開季名單》
2025 樂天桃猿《季後挑戰賽32人名單》《總冠軍賽32人名單》
2026/02/24 樂天桃猿《註冊球員》
2026/03/27 樂天桃猿《開季名單》",1,http://cpbl.com.tw/files/atts/0L015581098468306680/2024_CPBL六隊Logo_R_官網.png
0000000356,石翔宇,SHIH Hsiang Yu,味全龍,AAA011,6,游擊手,72,R,R,1996-11-01,2016-05-14,178,70,嘉南藥大,0,0,,https://www.cpbl.com.tw/files/atts/0L087781919608130647/72石翔宇.jpg,0,1,0,AAA011,158,,"2017 富邦悍將《開季26人名單》
2019/02/23 富邦悍將 更改背號 60→7
2021/02/04 味全龍 更改背號 7→72
2021/03/12 味全龍《開季27人名單》
2022 味全龍《季後賽28人名單》
2023/03/01 味全龍《註冊球員》
2023/03/31 味全龍《開季27人名單》
2023 味全龍隊《總冠軍賽28人名單》
2025/02/26 味全龍《註冊球員》
2026/02/24 味全龍《註冊球員》
2026/03/27 味全龍《開季28人名單》",1,http://cpbl.com.tw/files/atts/0L021497849799849722/logo_dragon_large.png
0000000361,張洺瑀,CHANG Ming Yu ,富邦悍將二軍,AEO022,7,左外野手,33,L,R,1998-09-01,2017-04-07,178,90,美和高中,0,0,張冠廷,https://www.cpbl.com.tw/files/atts/0L087781915159462106/33張洺瑀2026.jpg,0,1,0,AEO022,158,,"2018 富邦悍將《合約所屬球員》
2018/02/23 富邦悍將 更改背號 21→33
2019 富邦悍將《合約所屬球員》
2021/03/12 富邦悍將《開季27人名單》
2022/03/03 富邦悍將《註冊球員》
2022/09/19 富邦悍將《註銷註冊》
2023/03/01 富邦悍將《註冊球員》
2025/02/26 富邦悍將《合約所屬球員》；更改姓名 張冠廷→張洺瑀
2025/04/10 富邦悍將《新註冊》
2026/02/24 富邦悍將《註冊球員》
2026/03/27 富邦悍將《開季28人名單》
",1,http://cpbl.com.tw/files/atts/0L021495963248506263/logo_fubon_large.png
0000000362,申皓瑋,SHEN Hao Wei,富邦悍將二軍,AEO022,8,中外野手,29,R,R,1997-09-12,2017-05-20,183,95,高苑工商,0,0,,https://www.cpbl.com.tw/files/atts/0L087781910421857619/29申皓瑋2026.jpg,0,1,0,AEO022,158,,"2017 亞洲冬季棒球聯盟《中職聯隊》
2021/03/12 富邦悍將《開季27人名單》
2022/03/03 富邦悍將《註冊球員》
2023/03/01 富邦悍將《註冊球員》
2023/03/31 富邦悍將《開季27人名單》
2025/02/26 富邦悍將《註冊球員》
2025/03/28 富邦悍將《開季28人名單》
2026/02/24 富邦悍將《註冊球員》
2026/03/27 富邦悍將《開季28人名單》
",1,http://cpbl.com.tw/files/atts/0L021495963248506263/logo_fubon_large.png
0000000363,陳仕朋,CHEN Shih Peng,富邦悍將,AEO011,1,投手,81,L,L,1997-09-20,2017-10-07,179,88,西苑高中,0,0,,https://www.cpbl.com.tw/files/atts/0L087781915793341123/81陳仕朋2026.jpg,0,1,0,AEO011,158,,"2016/08/27 義大犀牛《新註冊》
2017 亞洲冬季棒球聯盟《中職聯隊》
2021/03/12 富邦悍將《開季27人名單》
2022/03/03 富邦悍將《註冊球員》
2023/03/01 富邦悍將《註冊球員》
2025 台韓國際交流賽 中華代表隊
2025/02/26 富邦悍將《註冊球員》
2026/02/24 富邦悍將《註冊球員》",1,http://cpbl.com.tw/files/atts/0L021495963248506263/logo_fubon_large.png
